id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name
4995,2900,TUGGERANONG,ACT,149.063805,-35.41891,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4996,2901,TUGGERANONG DC,ACT,0,0,,,,,,,
4997,2902,KAMBAH,ACT,149.049785,-35.389263,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
20748,2902,KAMBAH VILLAGE,ACT,149.059107,-35.37869,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4998,2903,ERINDALE CENTRE,ACT,149.081776,-35.402705,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4999,2903,OXLEY,ACT,149.081776,-35.402705,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5000,2903,WANNIASSA,ACT,149.081776,-35.402705,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5001,2904,FADDEN,ACT,149.111402,-35.410206,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5002,2904,GOWRIE,ACT,149.111402,-35.410206,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5003,2904,MACARTHUR,ACT,149.111402,-35.410206,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5004,2904,MONASH,ACT,149.111402,-35.410206,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5005,2905,BONYTHON,ACT,149.110025,-35.431011,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5006,2905,CALWELL,ACT,149.110025,-35.431011,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5007,2905,CHISHOLM,ACT,149.110025,-35.431011,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5008,2905,GILMORE,ACT,149.110025,-35.431011,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5009,2905,ISABELLA PLAINS,ACT,149.110025,-35.431011,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5010,2905,RICHARDSON,ACT,149.110025,-35.431011,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
